Country,Viewer Age Group,Viewer Gender,Viewer Percent
Indonesia,25-34,m,69.4
Taiwan,35-44,m,44.6
Vietnam,25-34,m,37.1
Philippines,25-34,m,36.1
United Kingdom,45-54,m,32.3
Italy,45-54,m,32.2
Taiwan,25-34,m,28.5
Czech Republic,35-44,f,26.9
Bulgaria,45-54,m,26.0
Bulgaria,25-34,m,25.4
United States,35-44,m,23.5
Germany,45-54,m,21.2
Germany,35-44,m,20.6
United States,45-54,m,20.5
Czech Republic,13-17,f,20.2
Germany,35-44,f,18.1
Bulgaria,35-44,m,17.6
Vietnam,18-24,m,17.3
Czech Republic,25-34,m,16.9
United Kingdom,35-44,m,16.1
United Kingdom,25-34,m,15.8
Bulgaria,18-24,m,15.6
Italy,45-54,f,14.4
Vietnam,25-34,f,14.3
Czech Republic,35-44,m,13.7
Italy,25-34,m,13.5
Germany,55-64,m,12.7
Bulgaria,25-34,f,12.7
United States,25-34,m,11.9
Italy,55-64,m,11.7
Italy,35-44,m,11.4
Philippines,45-54,f,11.3
United States,55-64,m,10.8
Vietnam,45-54,m,10.5
Taiwan,18-24,f,10.4
Indonesia,18-24,m,10.3
Czech Republic,25-34,f,9.9
United Kingdom,13-17,m,9.8
Germany,25-34,m,9.6
Vietnam,35-44,m,9.2
Taiwan,18-24,m,9.0
Philippines,18-24,m,8.6
Indonesia,35-44,m,8.4
Indonesia,13-17,m,8.4
Philippines,18-24,f,8.4
Philippines,45-54,m,7.7
Taiwan,25-34,f,7.5
Czech Republic,18-24,m,7.3
Germany,18-24,m,7.2
United States,18-24,m,7.1
Philippines,13-17,m,7.0
United States,13-17,m,6.9
United Kingdom,45-54,f,6.8
Germany,13-17,m,6.4
Vietnam,18-24,f,6.2
United States,45-54,f,6.0
Philippines,35-44,m,6.0
United Kingdom,18-24,m,5.7
Philippines,25-34,f,5.4
United Kingdom,35-44,f,5.2
Philippines,65-,m,5.1
Czech Republic,18-24,f,5.1
Italy,55-64,f,4.9
United States,35-44,f,4.7
Philippines,35-44,f,4.4
Germany,18-24,f,4.2
Italy,25-34,f,4.1
Vietnam,13-17,m,4.0
Italy,18-24,m,3.3
United Kingdom,65-,m,3.1
United Kingdom,18-24,f,2.7
United States,25-34,f,2.6
United Kingdom,25-34,f,2.6
Bulgaria,18-24,f,2.6
Indonesia,18-24,f,2.5
Italy,13-17,m,2.1
United States,13-17,f,1.9
United States,18-24,f,1.9
Vietnam,35-44,f,1.5
United States,55-64,f,1.4
Italy,18-24,f,1.2
Italy,35-44,f,1.1
Indonesia,25-34,f,0.9
United States,65-,m,0.8
United States,65-,f,0.0
Vietnam,55-64,f,0.0
Vietnam,65-,f,0.0
Vietnam,55-64,m,0.0
Vietnam,45-54,f,0.0
Vietnam,65-,m,0.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,65-,m,0.0
Indonesia,45-54,m,0.0
Italy,65-,f,0.0
Italy,65-,m,0.0
Philippines,55-64,f,0.0
Philippines,65-,f,0.0
Philippines,55-64,m,0.0
Germany,55-64,f,0.0
Germany,65-,f,0.0
Germany,25-34,f,0.0
Germany,45-54,f,0.0
Germany,65-,m,0.0
Taiwan,55-64,f,0.0
Taiwan,65-,f,0.0
Taiwan,55-64,m,0.0
Taiwan,45-54,f,0.0
Taiwan,35-44,f,0.0
Taiwan,65-,m,0.0
Taiwan,45-54,m,0.0
Taiwan,13-17,m,0.0
United Kingdom,55-64,f,0.0
United Kingdom,65-,f,0.0
United Kingdom,55-64,m,0.0
Bulgaria,55-64,f,0.0
Bulgaria,65-,f,0.0
Bulgaria,55-64,m,0.0
Bulgaria,45-54,f,0.0
Bulgaria,35-44,f,0.0
Bulgaria,65-,m,0.0
Bulgaria,13-17,m,0.0
Czech Republic,55-64,f,0.0
Czech Republic,65-,f,0.0
Czech Republic,55-64,m,0.0
Czech Republic,45-54,f,0.0
Czech Republic,65-,m,0.0
Czech Republic,45-54,m,0.0
Czech Republic,13-17,m,0.0
